,precision,recall,f1-score,support
Apple___Apple_scab,0.953125,0.9682539682539683,0.9606299212598425,63.0
Apple___Black_rot,1.0,1.0,1.0,62.0
Apple___Cedar_apple_rust,1.0,0.9629629629629629,0.9811320754716981,27.0
Apple___healthy,0.9877300613496932,0.9757575757575757,0.9817073170731707,165.0
Blueberry___healthy,1.0,1.0,1.0,150.0
Cherry_(including_sour)___Powdery_mildew,0.9905660377358491,1.0,0.995260663507109,105.0
Cherry_(including_sour)___healthy,0.9767441860465116,0.9882352941176471,0.9824561403508771,85.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9459459459459459,0.6862745098039216,0.7954545454545454,51.0
Corn_(maize)___Common_rust_,0.9669421487603306,0.975,0.970954356846473,120.0
Corn_(maize)___Northern_Leaf_Blight,0.8347826086956521,0.9795918367346939,0.9014084507042254,98.0
Corn_(maize)___healthy,0.9830508474576272,1.0,0.9914529914529915,116.0
Grape___Black_rot,0.9658119658119658,0.9576271186440678,0.9617021276595744,118.0
Grape___Esca_(Black_Measles),0.9645390070921985,0.9784172661870504,0.9714285714285714,139.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9814814814814815,0.9906542056074766,108.0
Grape___healthy,1.0,0.9761904761904762,0.9879518072289156,42.0
Orange___Haunglongbing_(Citrus_greening),0.9945652173913043,0.9963702359346642,0.9954669084315503,551.0
Peach___Bacterial_spot,0.9955555555555555,0.9739130434782609,0.9846153846153847,230.0
Peach___healthy,0.8974358974358975,0.9722222222222222,0.9333333333333333,36.0
"Pepper,_bell___Bacterial_spot",0.98989898989899,0.98989898989899,0.98989898989899,99.0
"Pepper,_bell___healthy",0.98,0.9932432432432432,0.9865771812080537,148.0
Potato___Early_blight,0.9433962264150944,1.0,0.970873786407767,100.0
Potato___Late_blight,0.8981481481481481,0.97,0.9326923076923077,100.0
Potato___healthy,1.0,0.8666666666666667,0.9285714285714286,15.0
Raspberry___healthy,1.0,0.972972972972973,0.9863013698630136,37.0
Soybean___healthy,0.9902152641878669,0.9941060903732809,0.9921568627450981,509.0
Squash___Powdery_mildew,0.9945945945945946,1.0,0.997289972899729,184.0
Strawberry___Leaf_scorch,1.0,0.9819819819819819,0.990909090909091,111.0
Strawberry___healthy,1.0,0.9777777777777777,0.9887640449438202,45.0
Tomato___Bacterial_spot,0.958139534883721,0.9671361502347418,0.9626168224299065,213.0
Tomato___Early_blight,0.8260869565217391,0.76,0.7916666666666666,100.0
Tomato___Late_blight,0.8870967741935484,0.8638743455497382,0.8753315649867374,191.0
Tomato___Leaf_Mold,0.9550561797752809,0.8947368421052632,0.9239130434782609,95.0
Tomato___Septoria_leaf_spot,0.9333333333333333,0.8700564971751412,0.9005847953216374,177.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9325842696629213,0.9880952380952381,0.9595375722543352,168.0
Tomato___Target_Spot,0.9307692307692308,0.8581560283687943,0.8929889298892989,141.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9706959706959707,0.9888059701492538,0.9796672828096118,536.0
Tomato___Tomato_mosaic_virus,0.9473684210526315,0.972972972972973,0.96,37.0
Tomato___healthy,0.9753086419753086,0.9937106918238994,0.9844236760124611,159.0
accuracy,0.9663045479653839,0.9663045479653839,0.9663045479653839,0.9663045479653839
macro avg,0.9623549214575503,0.9546444855568147,0.9573782681424725,5431.0
weighted avg,0.9665092199270188,0.9663045479653839,0.965863171977375,5431.0
